"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_keyboard_response","count_about_this_template","count_block_loop","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_instructions","count_keyboard_response","count_logger","count_practice_loop","count_reset_feedback","count_sketchpad","count_test","count_trial_sequence","datetime","description","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_correct","response_instructions","response_keyboard_response","response_time","response_time_instructions","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimuli_image","subject_nr","subject_parity","time_block_loop","time_experimental_loop","time_instructions","time_keyboard_response","time_logger","time_practice_loop","time_sketchpad","title","total_correct","total_response_time","total_responses","trials","uniform_coordinates","width"
"100","100","670","670","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","1","space","1","670","780","670","2","legacy","1024","2","48000","-16","experiment","blauw1.jpg","0","even","1919","1107","1107","1919","2621","1107","1919","Extended template","1","670","1","4","yes","800"
"50","50","374","374","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","78","780","78","2","legacy","1024","2","48000","-16","experiment","geel4.jpg","0","even","1919","1107","1107","2621","2730","1107","2621","Extended template","1","748","2","4","yes","800"
"33","33","405","405","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","2","2","0","0","2","0","2","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","468","780","468","2","legacy","1024","2","48000","-16","experiment","groen3.jpg","0","even","1919","1107","1107","2730","3213","1107","2730","Extended template","1","1216","3","4","yes","800"
"25","25","308","308","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","3","3","0","0","3","0","3","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","16","780","16","2","legacy","1024","2","48000","-16","experiment","blauw4.jpg","0","even","1919","1107","1107","3213","3245","1107","3213","Extended template","1","1232","4","4","yes","800"
"20","20","249","249","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","4","4","0","0","4","0","4","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","15","780","15","2","legacy","1024","2","48000","-16","experiment","groen2.jpg","0","even","1919","1107","1107","3245","3291","1107","3245","Extended template","1","1247","5","4","yes","800"
"33","33","208","208","black","yes","legacy","legacy","legacy","0","uniform","1","undefined","0","0","0","0","0","0","0","0","5","5","0","0","5","0","5","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","1","space","1","0","780","0","2","legacy","1024","2","48000","-16","experiment","groen1.jpg","0","even","1919","1107","1107","3291","3323","1107","3291","Extended template","2","1247","6","4","yes","800"
"29","29","178","178","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","6","6","0","0","6","0","6","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","0","780","0","2","legacy","1024","2","48000","-16","experiment","geel2.jpg","0","even","1919","1107","1107","3323","3354","1107","3323","Extended template","2","1247","7","4","yes","800"
"25","25","156","156","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","7","7","0","0","7","0","7","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","0","780","0","2","legacy","1024","2","48000","-16","experiment","blauw2.jpg","0","even","1919","1107","1107","3354","3385","1107","3354","Extended template","2","1247","8","4","yes","800"
"22","22","139","139","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","8","8","0","0","8","0","8","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","0","780","0","2","legacy","1024","2","48000","-16","experiment","rood3.jpg","0","even","1919","1107","1107","3385","3416","1107","3385","Extended template","2","1247","9","4","yes","800"
"20","20","125","125","black","yes","legacy","legacy","legacy","0","uniform","0","undefined","0","0","0","0","0","0","0","0","9","9","0","0","9","0","9","Tue Aug 02 2016 15:57:17 GMT+0200 (W. Europe Standard Time)","A template containing a practice and an experimental phase","no","mono","no","18","no","white","no","no","600","legacy","null","legacy","osweb","3.0.043 (01-08-2016)","yes","0","1","9","space","1","0","780","0","2","legacy","1024","2","48000","-16","experiment","groen4.jpg","0","even","1919","1107","1107","3416","3447","1107","3416","Extended template","2","1247","10","4","yes","800"
